反应描述,脱氯步骤,反应类型,反应物,产物,速率常数,速率常数_单位,表面反应速率常数,表面反应速率常数_单位,反应级数,半衰期,半衰期_单位,活化能,活化能_单位,温度,温度_单位,pH,氧化还原电位,氧化还原电位_单位,固相矿物类型,矿物比表面积,矿物比表面积_单位,初始浓度,初始浓度_单位,矿物名称,矿物化学式,溶度积,溶度积_单位,沉淀速率常数,沉淀速率常数_单位,溶解速率常数,溶解速率常数_单位,离子活度积,离子活度积_单位,过饱和度,实验体系,其他条件,参考文献
As(V) adsorption on iron-oxide-coated cement in deionised water,总反应,吸附,As(V),NA,0.03229,1/min,NA,NA,1,NA,NA,NA,NA,30,°C,8,NA,NA,Iron oxide coating on cement,NA,NA,0.5,mg/L,Iron-oxide-coated cement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Data from Figure 1, Table 1, Table 2; pseudo-second-order model best fit; R²: 0.98977; 共存物: NaNO3; 共存物浓度: 0.01; 共存物单位: M; 催化剂投加: 3; 催化剂单位: g/L; 影响因素: initial concentration; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: Journal of Environmental Science and Health, Part A; 地区(作者): India; 尾注: First-order reversible: kf=0.03272, kr=0.00043, K1=0.03272; Pseudo-first-order: kS1=0.03272; Second-order: K2=0.77766; Pseudo-second-order: k=5.849, h=0.15828, R²=1.0; Film diffusion Df=2.91×10⁻⁷ cm²/s",Kundu & Gupta (2005)
As(V) adsorption on iron-oxide-coated cement in deionised water,总反应,吸附,As(V),NA,0.03383,1/min,NA,NA,1,NA,NA,NA,NA,30,°C,8,NA,NA,Iron oxide coating on cement,NA,NA,1,mg/L,Iron-oxide-coated cement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Data from Figure 1, Table 1, Table 2; pseudo-second-order model best fit; R²: 0.96608; 共存物: NaNO3; 共存物浓度: 0.01; 共存物单位: M; 催化剂投加: 3; 催化剂单位: g/L; 影响因素: initial concentration; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: Journal of Environmental Science and Health, Part A; 地区(作者): India; 尾注: First-order reversible: kf=0.03426, kr=0.00043, K1=0.03426; Pseudo-first-order: kS1=0.03424; Second-order: K2=0.46396; Pseudo-second-order: k=2.8527, h=0.30910, R²=1.0; Film diffusion Df=3.17×10⁻⁷ cm²/s; 99.15% removal",Kundu & Gupta (2005)
As(V) adsorption on iron-oxide-coated cement in deionised water,总反应,吸附,As(V),NA,0.01589,1/min,NA,NA,1,NA,NA,NA,NA,30,°C,8,NA,NA,Iron oxide coating on cement,NA,NA,2,mg/L,Iron-oxide-coated cement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Data from Figure 1, Table 1, Table 2; pseudo-second-order model best fit; R²: 0.9839; 共存物: NaNO3; 共存物浓度: 0.01; 共存物单位: M; 催化剂投加: 3; 催化剂单位: g/L; 影响因素: initial concentration; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: Journal of Environmental Science and Health, Part A; 地区(作者): India; 尾注: First-order reversible: kf=0.01668, kr=0.00079, K1=0.01668; Pseudo-first-order: kS1=0.01669; Second-order: K2=0.00701; Pseudo-second-order: k=1.4842, h=0.59907, R²=0.99999; Film diffusion Df=3.96×10⁻⁸ cm²/s; 95% removal",Kundu & Gupta (2005)
As(V) adsorption on iron-oxide-coated cement in deionised water,总反应,吸附,As(V),NA,0.01716,1/min,NA,NA,1,NA,NA,NA,NA,30,°C,8,NA,NA,Iron oxide coating on cement,NA,NA,4,mg/L,Iron-oxide-coated cement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Data from Figure 1, Table 1, Table 2; pseudo-second-order model best fit; R²: 0.97625; 共存物: NaNO3; 共存物浓度: 0.01; 共存物单位: M; 催化剂投加: 3; 催化剂单位: g/L; 影响因素: initial concentration; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: Journal of Environmental Science and Health, Part A; 地区(作者): India; 尾注: First-order reversible: kf=0.01805, kr=0.00089, K1=0.01805; Pseudo-first-order: kS1=0.01803; Second-order: K2=0.00067; Pseudo-second-order: k=2.9943, h=4.81186, R²=1.0; Film diffusion Df=4.08×10⁻⁸ cm²/s",Kundu & Gupta (2005)
As(V) adsorption on iron-oxide-coated cement in deionised water,总反应,吸附,As(V),NA,0.0241,1/min,NA,NA,1,NA,NA,NA,NA,30,°C,8,NA,NA,Iron oxide coating on cement,NA,NA,10,mg/L,Iron-oxide-coated cement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Data from Figure 1, Table 1, Table 2; pseudo-second-order model best fit; R²: 0.98612; 共存物: NaNO3; 共存物浓度: 0.01; 共存物单位: M; 催化剂投加: 3; 催化剂单位: g/L; 影响因素: initial concentration; 尺度: 实验室; 介质: 水; 提取方法: 表格直接提取 / 图提取（软件）; 期刊: Journal of Environmental Science and Health, Part A; 地区(作者): India; 尾注: First-order reversible: kf=0.0274, kr=0.00329, K1=0.0274; Pseudo-first-order: kS1=0.02741; Second-order: K2=0.000435; Pseudo-second-order: k=0.1519, h=1.30667, R²=0.99998; Film diffusion Df=2.35×10⁻⁸ cm²/s",Kundu & Gupta (2005)
Arsenic removal from real groundwater sample (Akrampur),总反应,吸附,As(III) + As(V),NA,0.01922,1/min,NA,NA,1,NA,NA,NA,NA,30,°C,7,NA,NA,Iron oxide coating on cement,NA,NA,1.2,mg/L,Iron-oxide-coated cement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Data from Table 4, Table 5, Figure 9; Total As=1.2 mg/L (As(III)=0.88, As(V)=0.33); 75% total As removal; pH=7.0, hardness=280 mg/L CaCO3, Fe=10 mg/L, TOC=2.469 mg/L; R²: 0.99536; 共存物: Various ions; organic compounds; 催化剂投加: 3; 催化剂单位: g/L; 尺度: 实验室; 介质: 地下水; 地区: North 24-Parganas, West Bengal, India (Akrampur); 提取方法: 表格直接提取 / 图提取（软件）; 期刊: Journal of Environmental Science and Health, Part A; 地区(作者): India; 尾注: First-order reversible: kf=0.02562, kr=0.0064, K1=0.02562; Pseudo-first-order: kS1=0.02584; Second-order: K2=0.01565; Pseudo-second-order: k=0.00152, h=0.79603, R²=0.99962; Film diffusion Df=9.01×10⁻⁹ cm²/s; equilibrium time ~6h",Kundu & Gupta (2005)
Arsenic removal from real groundwater sample (Ardebok),总反应,吸附,As(III) + As(V),NA,0.0152,1/min,NA,NA,1,NA,NA,NA,NA,30,°C,7.5,NA,NA,Iron oxide coating on cement,NA,NA,0.88,mg/L,Iron-oxide-coated cement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Data from Table 4, Table 5, Figure 9; Total As=0.88 mg/L (As(III)=0.55, As(V)=0.14); 87% total As removal; pH=7.5, hardness=300 mg/L CaCO3, Fe=2.5 mg/L, TOC=1.926 mg/L; R²: 0.9934; 共存物: Various ions; organic compounds; 催化剂投加: 3; 催化剂单位: g/L; 尺度: 实验室; 介质: 地下水; 地区: North 24-Parganas, West Bengal, India (Ardebok); 提取方法: 表格直接提取 / 图提取（软件）; 期刊: Journal of Environmental Science and Health, Part A; 地区(作者): India; 尾注: First-order reversible: kf=0.01745, kr=0.00225, K1=0.01745; Pseudo-first-order: kS1=0.01686; Second-order: K2=0.01575; Pseudo-second-order: k=0.01035, h=2.71459, R²=0.99991; Film diffusion Df=1.36×10⁻⁸ cm²/s",Kundu & Gupta (2005)
Arsenic removal from real groundwater sample (Nivedita Pally),总反应,吸附,As(III) + As(V),NA,0.01894,1/min,NA,NA,1,NA,NA,NA,NA,30,°C,7,NA,NA,Iron oxide coating on cement,NA,NA,0.34,mg/L,Iron-oxide-coated cement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: Data from Table 4, Table 5, Figure 9; Total As=0.34 mg/L (As(III)=0.17, As(V)=0.33); 71% total As removal; pH=7.0, hardness=300 mg/L CaCO3, Fe=0.5 mg/L, TOC=1.310 mg/L; R²: 0.99585; 共存物: Various ions; organic compounds; 催化剂投加: 3; 催化剂单位: g/L; 尺度: 实验室; 介质: 地下水; 地区: North 24-Parganas, West Bengal, India (Nivedita Pally); 提取方法: 表格直接提取 / 图提取（软件）; 期刊: Journal of Environmental Science and Health, Part A; 地区(作者): India; 尾注: First-order reversible: kf=0.02683, kr=0.00789, K1=0.02683; Pseudo-first-order: kS1=0.02595; Second-order: K2=0.02858; Pseudo-second-order: k=0.00661, h=0.21849, R²=0.99815; Film diffusion Df=7.55×10⁻⁹ cm²/s",Kundu & Gupta (2005)
"Arsenic adsorption on coarse sand from Yellow River sediment, concentration 1 kg/m³",总反应,吸附,As,NA,0.0218,min⁻¹,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,coarse sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: First-order kinetics fitting, Table 2; R²: 0.7066; 催化剂投加: 1; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: Median particle size 35.84 μm; qe=19.63 μg/g",Li et al. (2018)
"Arsenic adsorption on coarse sand from Yellow River sediment, concentration 5 kg/m³",总反应,吸附,As,NA,0.0567,min⁻¹,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,coarse sand,NA,NA,NA,NA,Yellow River sediment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次,"备注: First-order kinetics fitting, Table 2; R²: 0.7786; 催化剂投加: 5; 催化剂单位: kg/m³; 影响因素: sediment concentration; 尺度: 实验室; 介质: 水; 地区: Yellow River, China; 提取方法: 表格直接提取; 期刊: Desalination and Water Treatment; 地区(作者): China; 尾注: Median particle size 35.84 μm; qe=18.22 μg/g",Li et al. (2018)
