反应描述,脱氯步骤,反应类型,反应物,产物,速率常数,速率常数_单位,表面反应速率常数,表面反应速率常数_单位,反应级数,半衰期,半衰期_单位,活化能,活化能_单位,温度,温度_单位,pH,氧化还原电位,氧化还原电位_单位,固相矿物类型,矿物比表面积,矿物比表面积_单位,初始浓度,初始浓度_单位,矿物名称,矿物化学式,溶度积,溶度积_单位,沉淀速率常数,沉淀速率常数_单位,溶解速率常数,溶解速率常数_单位,离子活度积,离子活度积_单位,过饱和度,实验体系,其他条件,参考文献
CT reduction in iron reactor at -755 mV (Table 1),总反应,还原,CT,methane,NA,NA,5.6 × 10-3,L m-2 h-1,1,3.7 ± 0.2,min,NA,NA,25,°C,7,-755,mV,iron electrode,4.5,m2,0.12,mM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"3 mM CaSO4, deoxygenated",Reductive dechlorination of trichloroethene and carbon tetrachloride using iron and palladized-iron cathodes
CTC reduction in ultrapure water (Table 1),总反应,还原,Carbon tetrachloride,Chloroform and other products,6.24±1.25,h⁻¹,9.60±1.92,L h⁻¹ m⁻² × 10⁻²,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"ZVI loading 2.5 g L⁻¹, shaker 300 rpm",Reduction of chlorinated methanes with nano-scale Fe particles: Effects of amphiphiles on the dechlorination reaction and two-parameter regression for kinetic prediction
CF reduction in ultrapure water (Table 1),总反应,还原,Chloroform,NA,1.29±0.31,h⁻¹ × 10⁻²,1.98±0.48,L h⁻¹ m⁻² × 10⁻⁴,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"ZVI loading 2.5 g L⁻¹, shaker 300 rpm",
CTC reduction in HA 50 mg L⁻¹ (Table 1),总反应,还原,Carbon tetrachloride,Chloroform and other products,4.50±0.49,h⁻¹,6.92±0.75,L h⁻¹ m⁻² × 10⁻²,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"HA 50 mg L⁻¹, ZVI loading 2.5 g L⁻¹",
CF reduction in HA 50 mg L⁻¹ (Table 1),总反应,还原,Chloroform,NA,32.4±3.57,h⁻¹ × 10⁻²,49.8±5.49,L h⁻¹ m⁻² × 10⁻⁴,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"HA 50 mg L⁻¹, ZVI loading 2.5 g L⁻¹",
CTC reduction in HA 200 mg L⁻¹ (Table 1),总反应,还原,Carbon tetrachloride,Chloroform and other products,2.81±0.56,h⁻¹,4.32±0.86,L h⁻¹ m⁻² × 10⁻²,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"HA 200 mg L⁻¹, ZVI loading 2.5 g L⁻¹",
CF reduction in HA 200 mg L⁻¹ (Table 1),总反应,还原,Chloroform,NA,5.51±0.69,h⁻¹ × 10⁻²,8.48±1.06,L h⁻¹ m⁻² × 10⁻⁴,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"HA 200 mg L⁻¹, ZVI loading 2.5 g L⁻¹",
CTC reduction in HA 1000 mg L⁻¹ (Table 1),总反应,还原,Carbon tetrachloride,Chloroform and other products,2.68±0.47,h⁻¹,4.12±0.72,L h⁻¹ m⁻² × 10⁻²,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"HA 1000 mg L⁻¹, ZVI loading 2.5 g L⁻¹",
CF reduction in HA 1000 mg L⁻¹ (Table 1),总反应,还原,Chloroform,NA,2.21±0.43,h⁻¹ × 10⁻²,3.40±0.66,L h⁻¹ m⁻² × 10⁻⁴,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"HA 1000 mg L⁻¹, ZVI loading 2.5 g L⁻¹",
CTC reduction in SDS 0.125 CMC (Table 1),总反应,还原,Carbon tetrachloride,Chloroform and other products,1.18±0.23,h⁻¹,1.82±0.35,L h⁻¹ m⁻² × 10⁻²,1,NA,NA,NA,NA,23±1,°C,7,NA,NA,Nano-scale Fe particles,26,m² g⁻¹,80,mg L⁻¹,NA,Fe⁰,NA,NA,NA,NA,NA,NA,NA,NA,NA,批次实验,"SDS 0.125 CMC (CMC=8.0 mM), ZVI loading 2.5 g L⁻¹",
