reaction_description（原文中对实验条件的简要描述，例：CT reduction in ultrapure water）,Chemical Reaction Equation（反应方程式例如CCl4 + e- →CCl3 + Cl-）,reaction_step（总反应/第1步/第2步）,reaction_type（还原 / 氧化 / 生物降解/还原+生物降解等）,reactant（反应物）,product（含产物生成比例）,reaction_order（1/0/2）,rate_constant,rate_constant_unit（min⁻¹ / h⁻¹ / L·m⁻²·h⁻¹）,half_life,half_life_unit（h / min / d）,activation_energy（活化能）,activation_energy_unit（kJ/mol）,temperature,temperature_unit（°C / K）,pH,pH_note（"buffered" / "initial"）,initial_concentration,initial_concentration_unit（mg/L / μM / mM）,mineral_type,mineral_surface_area,mineral_surface_area_unit（m²/g）,experiment_type（批次 / 柱实验 / 田间）,影响速率常数因素（pH/温度/反应物浓度/生成物浓度等）,影响速率常数因子n,oxygen_condition（氧气条件 好氧 / 厌氧 / 微好氧）,notes（其他备注，如"CF yield 28%" / "k1 and k2 from sequential fitting"）,参考文献,journal（文献发表所在期刊）
CT reduction in iron reactor at pH 4,CT → methane,总反应,还原,CT,methane (>95%),1,NA,NA,1.5,min,NA,NA,25,°C,4,initial,0.26,mM,iron electrode,4.5,m²/g,批次,pH,NA,厌氧,NA,Reductive dechlorination of trichloroethene and carbon tetrachloride using iron and palladized-iron cathodes,Environ. Sci. Technol.
CT reduction in iron reactor at pH 7,CT → methane,总反应,还原,CT,methane (>95%),1,NA,NA,3.6,min,NA,NA,25,°C,7,initial,0.26,mM,iron electrode,4.5,m²/g,批次,pH,NA,厌氧,NA,,Environ. Sci. Technol.
CT reduction in iron reactor at pH 10,CT → methane,总反应,还原,CT,methane (>95%),1,NA,NA,3,min,NA,NA,25,°C,10,initial,0.26,mM,iron electrode,4.5,m²/g,批次,pH,NA,厌氧,NA,,Environ. Sci. Technol.
CT reduction in Pd-iron reactor at pH 4,CT → methane,总反应,还原,CT,methane (>95%),1,NA,NA,1.3,min,NA,NA,25,°C,4,initial,0.26,mM,palladized-iron electrode,4.5,m²/g,批次,pH; Pd catalyst,NA,厌氧,NA,,Environ. Sci. Technol.
CT reduction in Pd-iron reactor at pH 7,CT → methane,总反应,还原,CT,methane (>95%),1,NA,NA,1.5,min,NA,NA,25,°C,7,initial,0.26,mM,palladized-iron electrode,4.5,m²/g,批次,pH; Pd catalyst,NA,厌氧,NA,,Environ. Sci. Technol.
CT reduction in Pd-iron reactor at pH 10,CT → methane,总反应,还原,CT,methane (>95%),1,NA,NA,1.7,min,NA,NA,25,°C,10,initial,0.26,mM,palladized-iron electrode,4.5,m²/g,批次,pH; Pd catalyst,NA,厌氧,NA,,Environ. Sci. Technol.
TCE reduction by Pd wire electrode,TCE → products,总反应,还原,TCE,NA,1,1.3E-03,L·m⁻²·h⁻¹,NA,NA,NA,NA,25,°C,7,NA,saturated,NA,palladium wire,NA,NA,批次,electrode material,NA,厌氧,Amperometric measurement,,Environ. Sci. Technol.
CF reduction in ultrapure water,CF + e- → products,NA,还原,CF,NA,1,1.29E-2,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,NA,NA,厌氧,kSA=1.98E-4 L·h⁻¹·m⁻²,Reduction of chlorinated methanes with nano-scale Fe particles: Effects of amphiphiles on the dechlorination reaction and two-parameter regression for kinetic prediction,Chemosphere
CTC reduction with HA 50 mg/L,CTC + e- → products,NA,还原,CTC,CF,1,4.5,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,HA浓度,NA,厌氧,kSA=6.92E-2 L·h⁻¹·m⁻²,,Chemosphere
CF reduction with HA 50 mg/L,CF + e- → products,NA,还原,CF,NA,1,3.24E-1,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,HA浓度,NA,厌氧,kSA=4.98E-3 L·h⁻¹·m⁻²; HA as electron mediator,,Chemosphere
CTC reduction with HA 200 mg/L,CTC + e- → products,NA,还原,CTC,CF,1,2.81,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,HA浓度,NA,厌氧,kSA=4.32E-2 L·h⁻¹·m⁻²,,Chemosphere
CF reduction with HA 200 mg/L,CF + e- → products,NA,还原,CF,NA,1,5.51E-2,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,HA浓度,NA,厌氧,kSA=8.48E-4 L·h⁻¹·m⁻²,,Chemosphere
CTC reduction with HA 1000 mg/L,CTC + e- → products,NA,还原,CTC,CF,1,2.68,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,HA浓度,NA,厌氧,kSA=4.12E-2 L·h⁻¹·m⁻²,,Chemosphere
CF reduction with HA 1000 mg/L,CF + e- → products,NA,还原,CF,NA,1,2.21E-2,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,HA浓度,NA,厌氧,kSA=3.40E-4 L·h⁻¹·m⁻²,,Chemosphere
CTC reduction with SDS 0.125 CMC,CTC + e- → products,NA,还原,CTC,CF,1,1.18,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=1.82E-2 L·h⁻¹·m⁻²,,Chemosphere
CF reduction with SDS 0.125 CMC,CF + e- → products,NA,还原,CF,NA,1,2.07E-2,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=3.18E-4 L·h⁻¹·m⁻²,,Chemosphere
CTC reduction with SDS 1 CMC,CTC + e- → products,NA,还原,CTC,CF,1,1.47,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=2.26E-2 L·h⁻¹·m⁻²,,Chemosphere
CF reduction with SDS 1 CMC,CF + e- → products,NA,还原,CF,NA,1,5.39E-2,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=8.29E-4 L·h⁻¹·m⁻²; deviation after 24h,,Chemosphere
CTC reduction with SDS 3 CMC,CTC + e- → products,NA,还原,CTC,CF,1,1.6,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=2.46E-2 L·h⁻¹·m⁻²,,Chemosphere
CF reduction with SDS 3 CMC,CF + e- → products,NA,还原,CF,NA,1,8.20E-2,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=1.26E-3 L·h⁻¹·m⁻²,,Chemosphere
CTC reduction with CTAB 0.1 CMC,CTC + e- → products,NA,还原,CTC,CF,1,9.58,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=1.47E-1 L·h⁻¹·m⁻²,,Chemosphere
CF reduction with CTAB 0.1 CMC,CF + e- → products,NA,还原,CF,NA,1,1.54E-2,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=2.37E-4 L·h⁻¹·m⁻²,,Chemosphere
CTC reduction with CTAB 1 CMC,CTC + e- → products,NA,还原,CTC,CF,1,7.74,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=1.19E-1 L·h⁻¹·m⁻²,,Chemosphere
CF reduction with CTAB 1 CMC,CF + e- → products,NA,还原,CF,NA,1,2.51E-2,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=3.86E-4 L·h⁻¹·m⁻²,,Chemosphere
CTC reduction with CTAB 10 CMC,CTC + e- → products,NA,还原,CTC,CF,1,9.43,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=1.45E-1 L·h⁻¹·m⁻²,,Chemosphere
CF reduction with CTAB 10 CMC,CF + e- → products,NA,还原,CF,NA,1,3.65E-2,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=5.48E-4 L·h⁻¹·m⁻²,,Chemosphere
CTC reduction with NPE 0.167 CMC,CTC + e- → products,NA,还原,CTC,CF,1,5.17,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=7.95E-2 L·h⁻¹·m⁻²,,Chemosphere
CF reduction with NPE 0.167 CMC,CF + e- → products,NA,还原,CF,NA,1,1.51E-2,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=2.32E-4 L·h⁻¹·m⁻²,,Chemosphere
CTC reduction with NPE 1 CMC,CTC + e- → products,NA,还原,CTC,CF,1,9.62,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=1.48E-1 L·h⁻¹·m⁻²,,Chemosphere
CF reduction with NPE 1 CMC,CF + e- → products,NA,还原,CF,NA,1,1.34E-2,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=2.06E-4 L·h⁻¹·m⁻²,,Chemosphere
CTC reduction with NPE 10 CMC,CTC + e- → products,NA,还原,CTC,CF,1,7.11,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=1.09E-1 L·h⁻¹·m⁻²,,Chemosphere
CF reduction with NPE 10 CMC,CF + e- → products,NA,还原,CF,NA,1,1.02E-2,h⁻¹,NA,NA,NA,NA,23,°C,7,initial,80,mg/L,nano-scale Fe,26,m²/g,批次,表面活性剂浓度,NA,厌氧,kSA=1.57E-4 L·h⁻¹·m⁻²,,Chemosphere
"CCl4 degradation by 99.99% pure Fe, 1-day aging with 10⁻⁵ M Na2S",CCl4 → CHCl3,总反应,还原,CCl4,CHCl3 (≈100%),1,6.0×10⁻³,h⁻¹,115.5,h,NA,NA,NA,NA,9.1,initial,0.035,M,NA,0.02,m²/g,批次,Na2S浓度/aging时间,NA,厌氧,Low S-concentration treatment,Influence of Na2S on the degradation kinetics of CCl4 in the presence of very pure iron,Journal of Contaminant Hydrology
"CCl4 degradation by 99.99% pure Fe, 1-day aging with 10⁻³ M Na2S",CCl4 → CHCl3,总反应,还原,CCl4,CHCl3 (≈100%),1,2.4×10⁻³,h⁻¹,288.8,h,NA,NA,NA,NA,9.1,initial,0.035,M,NA,0.02,m²/g,批次,Na2S浓度/aging时间,NA,厌氧,High S-concentration treatment,,Journal of Contaminant Hydrology
"CCl4 degradation by 99.99% pure Fe, 10-day aging with 10⁻⁵ M Na2S",CCl4 → CHCl3,总反应,还原,CCl4,CHCl3 (≈100%),1,1.2×10⁻²,h⁻¹,57.8,h,NA,NA,NA,NA,9.1,initial,0.035,M,NA,NA,NA,批次,Na2S浓度/aging时间,NA,厌氧,Low S-concentration treatment,,Journal of Contaminant Hydrology
"CCl4 degradation by 99.99% pure Fe, 10-day aging with 10⁻³ M Na2S",CCl4 → CHCl3,总反应,还原,CCl4,CHCl3 (≈100%),1,1.2×10⁻²,h⁻¹,57.8,h,NA,NA,NA,NA,9.1,initial,0.035,M,NA,NA,NA,批次,Na2S浓度/aging时间,NA,厌氧,High S-concentration treatment,,Journal of Contaminant Hydrology
"CCl4 degradation by 99.99% pure Fe, 30-day aging with 10⁻⁵ M Na2S",CCl4 → CHCl3,总反应,还原,CCl4,CHCl3 (≈100%),1,1.2×10⁻²,h⁻¹,57.8,h,NA,NA,NA,NA,9.1,initial,0.035,M,NA,NA,NA,批次,Na2S浓度/aging时间,NA,厌氧,Low S-concentration treatment,,Journal of Contaminant Hydrology
"CCl4 degradation by 99.99% pure Fe, 30-day aging with 10⁻³ M Na2S",CCl4 → CHCl3,总反应,还原,CCl4,CHCl3 (≈100%),1,1.8×10⁻²,h⁻¹,38.5,h,NA,NA,NA,NA,9.1,initial,0.035,M,NA,NA,NA,批次,Na2S浓度/aging时间,NA,厌氧,High S-concentration treatment,,Journal of Contaminant Hydrology
"CCl4 degradation by 99.99% pure Fe, 60-day aging with 10⁻⁵ M Na2S",CCl4 → CHCl3,总反应,还原,CCl4,CHCl3 (≈100%),1,1.2×10⁻²,h⁻¹,57.8,h,NA,NA,NA,NA,9.1,initial,0.035,M,NA,NA,NA,批次,Na2S浓度/aging时间,NA,厌氧,Low S-concentration treatment,,Journal of Contaminant Hydrology
"CCl4 degradation by 99.99% pure Fe, 60-day aging with 10⁻³ M Na2S",CCl4 → CHCl3,总反应,还原,CCl4,CHCl3 (≈100%),1,2.4×10⁻²,h⁻¹,28.9,h,NA,NA,NA,NA,9.1,initial,0.035,M,NA,NA,NA,批次,Na2S浓度/aging时间,NA,厌氧,High S-concentration treatment,,Journal of Contaminant Hydrology
"CCl4 degradation by 99.99% pure Fe control (no Na2S), averaged across aging times",CCl4 → CHCl3,总反应,还原,CCl4,CHCl3 (≈100%),1,1.26×10⁻²,h⁻¹,57.8,h,NA,NA,NA,NA,9.1,initial,0.035,M,NA,0.02,m²/g,批次,NA,NA,厌氧,Fe-control without sulphide; normalized rate: 1.14×10⁻² L·h⁻¹·m⁻²,,Journal of Contaminant Hydrology
