污染物,Temperature (C),Pressure (MPa),Density (kg/m3),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Solubility（mol /kg*atm）,Viscosity (uPa*s),Phase,数据来源,备注
CCl4,283.21,4.493,557.48,30-34,,,,,,change,nist官网,
CCl4,25,,,,,,131.3,,,liquid,nist官网,
CCl4,20,,,,,,131.66,,,liquid,nist官网,
CCl4,-17.05,,,,,,131.8,,,liquid,nist官网,
CCl4,24.85,,,,,,131,,,liquid,nist官网,
CCl4,19.85,,,,,,131.5,,,liquid,nist官网,
CCl4,26.85,,,,,,130.9,,,liquid,nist官网,
CCl4,30.15,,,,,,130.5,,,liquid,nist官网,
CCl4,24.95,,,,,,132.2,,,liquid,nist官网,
CCl4,28.05,,,,,,133.1,,,liquid,nist官网,
CCl4,15.15,,,,,,126.4,,,liquid,nist官网,
CCl4,20.05,,,,,,128,,,liquid,nist官网,
CCl4,29.85,,,,,,128.9,,,liquid,nist官网,
CCl4,16.85,,,,,,133.9,,,liquid,nist官网,
CCl4,-227.15,,,,,,44.22,,,solid,nist官网,
CCl4,76.75,,,29.82,,,,,,vaporization,nist官网,
CCl4,90.85,,,30.4,,,,,,vaporization,nist官网,
CCl4,153.85,,,29.2,,,,,,vaporization,nist官网,
CCl4,235.85,,,30.6,,,,,,vaporization,nist官网,
CCl4,3.85,,,33.7,,,,,,vaporization,nist官网,
CCl4,34.85,,,32.3,,,,,,vaporization,nist官网,
CCl4,51.85,,,31.7,,,,,,vaporization,nist官网,
CCl4,-35,,,37.9,,,,,,sublimation,nist官网,
CCl4,-47.15,,,43.4,,,,,,sublimation,nist官网,
CCl4,-56.15,,,38.8,,,,,,sublimation,nist官网,
CCl4,-24.15,,,2.69,,,,,,fusion,nist官网,
CCl4,-48.55,,,,20.49,,,,,fusion,nist官网,
CCl4,-24.15,,,,10.82,,,,,fusion,nist官网,
CCl4,-47.75,,,,20.3,,,,,fusion,nist官网,
CCl4,-22.85,,,,10.1,,,,,fusion,nist官网,
CCl4,-47.45,,,,20.5,,,,,fusion,nist官网,
CCl4,-22.65,,,,10.2,,,,,fusion,nist官网,
CCl4,-47.45,,,4.631,,,,,,phase transition,nist官网,
CCl4,-22.62,,,2.562,,,,,,phase transition,nist官网,
CCl4,-27.45,,,1.848,,,,,,phase transition,nist官网,
CCl4,-22.87,,,2.588,,,,,,phase transition,nist官网,
CCl4,-47.8,,,4.581,,,,,,phase transition,nist官网,
CCl4,-22.85,,,2.515,,,,,,phase transition,nist官网,
CCl4,-48.55,,,4.6,,,,,,phase transition,nist官网,
CCl4,-24.15,,,2.694,,,,,,phase transition,nist官网,
CCl4,-47.52,,,4.602,,,,,,phase transition,nist官网,
CCl4,-22.78,,,2.431,,,,,,phase transition,nist官网,
CCl4,-47.45,,,,20.52,,,,,phase transition,nist官网,
CCl4,-22.62,,,,10.226,,,,,phase transition,nist官网,
CCl4,-27.45,,,,7.52,,,,,phase transition,nist官网,
CCl4,-22.87,,,,10.22,,,,,phase transition,nist官网,
CCl4,-47.8,,,,20.33,,,,,phase transition,nist官网,
CCl4,-22.85,,,,10.04,,,,,phase transition,nist官网,
CCl4,-47.8,,,,20.33,,,,,phase transition,nist官网,
CCl4,-22.85,,,,10.05,,,,,phase transition,nist官网,
CCl4,-48.55,,,,20.5,,,,,phase transition,nist官网,
CCl4,-24.15,,,,10.8,,,,,phase transition,nist官网,
CCl4,-47.52,,,,26.4,,,,,phase transition,nist官网,
CCl4,-22.78,,,,9.71,,,,,phase transition,nist官网,
