reaction_description（原文中对实验条件的简要描述，例：CT reduction in ultrapure water）,Chemical Reaction Equation（反应方程式例如CCl4 + e- →CCl3 + Cl-）,reaction_step（总反应/第1步/第2步）,reaction_type（还原 / 氧化 / 生物降解/还原+生物降解等）,reactant（反应物）,product（含产物生成比例）,reaction_order（1/0/2）,rate_constant,rate_constant_unit（min⁻¹ / h⁻¹ / L·m⁻²·h⁻¹）,half_life,half_life_unit（h / min / d）,activation_energy（活化能）,activation_energy_unit（kJ/mol）,temperature,temperature_unit（°C / K）,pH,pH_note（"buffered" / "initial"）,initial_concentration,initial_concentration_unit（mg/L / μM / mM）,mineral_type,mineral_surface_area,mineral_surface_area_unit（m²/g）,experiment_type（批次 / 柱实验 / 田间）,影响速率常数因素（pH/温度/反应物浓度/生成物浓度等）,影响速率常数因子n,oxygen_condition（氧气条件 好氧 / 厌氧 / 微好氧）,notes（其他备注，如"CF yield 28%" / "k1 and k2 from sequential fitting"）,参考文献,journal（文献发表所在期刊）
"1,1-DCA reduction in water","1,1-DCA → ethane + 2Cl-",总反应,还原,"1,1-DCA",ethane,1,0.000241,h⁻¹,NA,NA,NA,NA,23,°C,7.2-8.6,initial,NA,NA,nanosized iron,zero-valent iron,27.9,批次,NA,NA,厌氧,α-elimination; kSA=1.99×10⁻⁵ L·m⁻²·h⁻¹,"Reduction of chlorinated ethanes by nanosized zero-valent iron: Kinetics, pathways, and effects of reaction conditions",Environ. Sci. Technol.
"1,2-DCA reduction in water","1,2-DCA → no reaction",总反应,还原,"1,2-DCA",no products,NA,<0.00005,h⁻¹,NA,NA,NA,NA,23,°C,7.2-8.6,initial,NA,NA,nanosized iron,zero-valent iron,27.9,批次,NA,NA,厌氧,kSA<4×10⁻⁶ L·m⁻²·h⁻¹; <5% conversion over 40 days,"Reduction of chlorinated ethanes by nanosized zero-valent iron: Kinetics, pathways, and effects of reaction conditions",Environ. Sci. Technol.
"1,2-DCA degradation by un-activated persulfate",NA,总反应,还原,"1,2-DCA",NA,1,13.6,h⁻¹,NA,NA,NA,NA,25,°C,4,initial,0.5,mM,NA,NA,NA,批次,pH,NA,NA,Final pH 2.4; corrected ORP 488 mV,"A kinetic and mechanistic study of the degradation of 1,2-dichloroethane and methyl tert-butyl ether using alkaline-activated persulfate oxidation",RSC Advances
"1,2-DCA degradation by alkaline-activated persulfate at pH 10",NA,总反应,还原,"1,2-DCA",VC,1,5.2,h⁻¹,NA,NA,NA,NA,25,°C,10,initial,0.5,mM,NA,NA,NA,批次,pH,NA,NA,Final pH 3.2; corrected ORP 481 mV,"A kinetic and mechanistic study of the degradation of 1,2-dichloroethane and methyl tert-butyl ether using alkaline-activated persulfate oxidation",RSC Advances
"1,2-DCA degradation by alkaline-activated persulfate at pH 11",NA,总反应,还原,"1,2-DCA",VC,1,9,h⁻¹,NA,NA,NA,NA,25,°C,11,initial,0.5,mM,NA,NA,NA,批次,pH,NA,NA,Final pH 11.2; corrected ORP 604 mV,"A kinetic and mechanistic study of the degradation of 1,2-dichloroethane and methyl tert-butyl ether using alkaline-activated persulfate oxidation",RSC Advances
"1,2-DCA degradation by alkaline-activated persulfate at pH 12",NA,总反应,还原,"1,2-DCA",VC,1,23.7,h⁻¹,NA,NA,NA,NA,25,°C,12,initial,0.5,mM,NA,NA,NA,批次,pH,NA,NA,Final pH 12.5; corrected ORP 714 mV; 98% removal,"A kinetic and mechanistic study of the degradation of 1,2-dichloroethane and methyl tert-butyl ether using alkaline-activated persulfate oxidation",RSC Advances
"1,2-DCA degradation by alkaline-activated persulfate at pH 13",NA,总反应,还原,"1,2-DCA",VC,1,42.1,h⁻¹,NA,NA,NA,NA,25,°C,13,initial,0.5,mM,NA,NA,NA,批次,pH,NA,NA,Final pH 13.2; corrected ORP 815 mV; 100% removal,"A kinetic and mechanistic study of the degradation of 1,2-dichloroethane and methyl tert-butyl ether using alkaline-activated persulfate oxidation",RSC Advances
"1,2-DCA degradation by BOF slag-activated persulfate (20 g/L)",NA,总反应,还原,"1,2-DCA",VC,1,32.5,h⁻¹,NA,NA,NA,NA,25,°C,12.3,initial,0.5,mM,BOF slag,NA,NA,批次,pH,NA,NA,100% removal; no heavy metals detected,"A kinetic and mechanistic study of the degradation of 1,2-dichloroethane and methyl tert-butyl ether using alkaline-activated persulfate oxidation",RSC Advances
"1,2-DCA degradation by BOF slag-activated persulfate (40 g/L)",NA,总反应,还原,"1,2-DCA",VC,1,34.7,h⁻¹,NA,NA,NA,NA,25,°C,12.6,initial,0.5,mM,BOF slag,NA,NA,批次,pH,NA,NA,100% removal,"A kinetic and mechanistic study of the degradation of 1,2-dichloroethane and methyl tert-butyl ether using alkaline-activated persulfate oxidation",RSC Advances
"1,2-DCA degradation by BOF slag-activated persulfate (60 g/L)",NA,总反应,还原,"1,2-DCA",VC,1,36.7,h⁻¹,NA,NA,NA,NA,25,°C,12.6,initial,0.5,mM,BOF slag,NA,NA,批次,pH,NA,NA,100% removal,"A kinetic and mechanistic study of the degradation of 1,2-dichloroethane and methyl tert-butyl ether using alkaline-activated persulfate oxidation",RSC Advances
